File Name,Call Type,Length (seconds),Start Time,Trap Number
Crossroad-140320_220001-S797-E804,Male,7.0,2020-03-15 11:13,Secretary_Island/Crossroad
Crossroad-140320_231502-S82-E112,Male,30.0,2020-03-15 12:16,Secretary_Island/Crossroad
Crossroad-140320_231502-S847-E874,Male,27.0,2020-03-15 12:29,Secretary_Island/Crossroad
Crossroad-140320_231502-S881-E890,Male,9.0,2020-03-15 12:29,Secretary_Island/Crossroad
Crossroad-140320_233002-S100-E115,Male,15.0,2020-03-15 12:31,Secretary_Island/Crossroad
Crossroad-140320_233002-S88-E94,Male,6.0,2020-03-15 12:31,Secretary_Island/Crossroad
Crossroad-140320_234502-S861-E867,Female,6.0,2020-03-15 12:59,Secretary_Island/Crossroad
Crossroad-140320_234502-S867-E873,Male,6.0,2020-03-15 12:59,Secretary_Island/Crossroad
Crossroad-140320_234502-S879-E888,Male,9.0,2020-03-15 12:59,Secretary_Island/Crossroad
Crossroad-140419_220001-S557-E581,Male,24.0,2019-04-15 10:09,Secretary_Island/Crossroad
Crossroad-140419_223002-S13-E22,Male,9.0,2019-04-15 10:30,Secretary_Island/Crossroad
Crossroad-140419_223002-S247-E277,Male,30.0,2019-04-15 10:34,Secretary_Island/Crossroad
Crossroad-140419_223002-S281-E299,Male,18.0,2019-04-15 10:34,Secretary_Island/Crossroad
Crossroad-140419_224502-S320-E334,Male,14.0,2019-04-15 10:50,Secretary_Island/Crossroad
Crossroad-140419_224502-S398-E408,Male,10.0,2019-04-15 10:51,Secretary_Island/Crossroad
Crossroad-140419_224502-S416-E437,Male,21.0,2019-04-15 10:51,Secretary_Island/Crossroad
Crossroad-140419_234502-S472-E490,Male,18.0,2019-04-15 11:52,Secretary_Island/Crossroad
Crossroad-150319_231502-S213-E228,Female,15.0,2019-03-16 12:18,Secretary_Island/Crossroad
Crossroad-150319_231502-S229-E250,Male,21.0,2019-03-16 12:18,Secretary_Island/Crossroad
Crossroad-150320_223002-S250-E262,Male,12.0,2020-03-16 11:34,Secretary_Island/Crossroad
Crossroad-150320_224502-S69-E87,Male,18.0,2020-03-16 11:46,Secretary_Island/Crossroad
Crossroad-160319_224502-S194-E201,Male,7.0,2019-03-17 11:48,Secretary_Island/Crossroad
Crossroad-160319_230002-S277-E293,Male,16.0,2019-03-17 12:04,Secretary_Island/Crossroad
Crossroad-160319_234502-S119-E146,Male,27.0,2019-03-17 12:47,Secretary_Island/Crossroad
Crossroad-160320_220001-S889-E896,Male,7.0,2020-03-17 11:14,Secretary_Island/Crossroad
Crossroad-160320_221502-S1-E12,Male,11.0,2020-03-17 11:15,Secretary_Island/Crossroad
Crossroad-160320_230002-S811-E832,Male,21.0,2020-03-17 12:13,Secretary_Island/Crossroad
Crossroad-160320_231502-S771-E777,Male,6.0,2020-03-17 12:27,Secretary_Island/Crossroad
Crossroad-160419_220001-S731-E750,Male,19.0,2019-04-17 10:12,Secretary_Island/Crossroad
Crossroad-160519_220001-S521-E527,Male,6.0,2019-05-17 10:08,Secretary_Island/Crossroad
Crossroad-160519_220001-S533-E542,Female,9.0,2019-05-17 10:08,Secretary_Island/Crossroad
Crossroad-160519_221502-S3-E25,Male,22.0,2019-05-17 10:15,Secretary_Island/Crossroad
